sample_name_tablemerge,sample_name,sample,sample_ID,site,core,pre_post_thaw,soil_blank,original_reseq_neither,sample_counts,sequence_run
1_S72_L002,1_S72_L002,1,AT3_R5_POST_SOIL,CRREL,AT3,post,soil,original,1207,1
1_S1_L001,1_S1_L001_reseq,1,AT3_R5_POST_SOIL,CRREL,AT3,post,soil,reseq,171798,2
2_S73_L002,2_S73_L002,2,AT3_R6_POST_SOIL,CRREL,AT3,post,soil,neither,6094,1
3_S74_L002,3_S74_L002,3,AT3_R7_POST_SOIL,CRREL,AT3,post,soil,original,1577,1
2_S2_L001,2_S2_L001_reseq,3,AT3_R7_POST_SOIL,CRREL,AT3,post,soil,reseq,152994,2
4_S75_L002,4_S75_L002,4,AT3_R8_POST_SOIL,CRREL,AT3,post,soil,neither,8503,1
5_S76_L002,5_S76_L002,5,AT4_R5_POST_SOIL,CRREL,AT4,post,soil,neither,7548,1
6_S77_L002,6_S77_L002,6,AT4_R6_POST_SOIL,CRREL,AT4,post,soil,neither,4901,1
7_S78_L002,7_S78_L002,7,AT4_R7_POST_SOIL,CRREL,AT4,post,soil,original,2968,1
5_S5_L001,5_S5_L001_reseq,7,AT4_R7_POST_SOIL,CRREL,AT4,post,soil,reseq,61845,2
8_S79_L002,8_S79_L002,8,AT4_R8_POST_SOIL,CRREL,AT4,post,soil,original,4383,1
6_S6_L001,6_S6_L001_reseq,8,AT4_R8_POST_SOIL,CRREL,AT4,post,soil,reseq,175294,2
9_S80_L002,9_S80_L002,9,FL1C4_R5_POST_SOIL,FL,FL1C4,post,soil,original,2214,1
8_S8_L001,8_S8_L001_reseq,9,FL1C4_R5_POST_SOIL,FL,FL1C4,post,soil,reseq,217866,2
10_S81_L002,10_S81_L002,10,FL1C4_R6_POST_SOIL,FL,FL1C4,post,soil,original,4297,1
9_S9_L001,9_S9_L001_reseq,10,FL1C4_R6_POST_SOIL,FL,FL1C4,post,soil,reseq,234074,2
11_S82_L002,11_S82_L002,11,FL1C4_R7_POST_SOIL,FL,FL1C4,post,soil,neither,4057,1
13_S84_L002,13_S84_L002,13,FL2C3_R5_POST_SOIL,FL,FL2C3,post,soil,neither,6489,1
14_S85_L002,14_S85_L002,14,FL2C3_R6_POST_SOIL,FL,FL2C3,post,soil,neither,13939,1
15_S86_L002,15_S86_L002,15,FL2C3_R7_POST_SOIL,FL,FL2C3,post,soil,original,13886,1
10_S10_L001,10_S10_L001_reseq,15,FL2C3_R7_POST_SOIL,FL,FL2C3,post,soil,reseq,200057,2
16_S87_L002,16_S87_L002,16,FL2C3_R8_POST_SOIL,FL,FL2C3,post,soil,neither,9131,1
17_S88_L002,17_S88_L002,17,BEO1_R5_POST_SOIL,Utqiagvik,BEO1,post,soil,neither,5635,1
18_S89_L002,18_S89_L002,18,BEO1_R6_POST_SOIL,Utqiagvik,BEO1,post,soil,neither,19273,1
19_S90_L002,19_S90_L002,19,BEO1_R7_POST_SOIL,Utqiagvik,BEO1,post,soil,neither,15582,1
20_S91_L002,20_S91_L002,20,BEO1_R8_POST_SOIL,Utqiagvik,BEO1,post,soil,neither,16599,1
21_S92_L002,21_S92_L002,21,BEO2B_R5_POST_SOIL,Utqiagvik,BEO2B,post,soil,neither,13170,1
22_S93_L002,22_S93_L002,22,BEO2B_R6_POST_SOIL,Utqiagvik,BEO2B,post,soil,neither,11807,1
23_S94_L002,23_S94_L002,23,BEO2B_R7_POST_SOIL,Utqiagvik,BEO2B,post,soil,neither,6289,1
24_S95_L002,24_S95_L002,24,BEO2B_R8_POST_SOIL,Utqiagvik,BEO2B,post,soil,original,4493,1
17_S17_L001,17_S17_L001_reseq,24,BEO2B_R8_POST_SOIL,Utqiagvik,BEO2B,post,soil,reseq,37922,2
25_S96_L002,25_S96_L002,25,AT3_R5_PRE_SOIL,CRREL,AT3,pre,soil,neither,4501,1
26_S97_L002,26_S97_L002,26,AT3_R6_PRE_SOIL,CRREL,AT3,pre,soil,neither,4403,1
27_S98_L002,27_S98_L002,27,AT3_R7_PRE_SOIL,CRREL,AT3,pre,soil,neither,5058,1
28_S99_L002,28_S99_L002,28,AT3_R8_PRE_SOIL,CRREL,AT3,pre,soil,neither,4992,1
29_S100_L002,29_S100_L002,29,AT4_R5_PRE_SOIL,CRREL,AT4,pre,soil,neither,5669,1
30_S101_L002,30_S101_L002,30,AT4_R6_PRE_SOIL,CRREL,AT4,pre,soil,original,2365,1
3_S3_L001,3_S3_L001_reseq,30,AT4_R6_PRE_SOIL,CRREL,AT4,pre,soil,reseq,93527,2
31_S102_L002,31_S102_L002,31,AT4_R7_PRE_SOIL,CRREL,AT4,pre,soil,neither,5046,1
32_S103_L002,32_S103_L002,32,AT4_R8_PRE_SOIL,CRREL,AT4,pre,soil,original,1854,1
4_S4_L001,4_S4_L001_reseq,32,AT4_R8_PRE_SOIL,CRREL,AT4,pre,soil,reseq,113234,2
33_S104_L002,33_S104_L002,33,FL1C4_R5_PRE_SOIL,FL,FL1C4,pre,soil,neither,5916,1
34_S105_L002,34_S105_L002,34,FL1C4_R6_PRE_SOIL,FL,FL1C4,pre,soil,neither,8267,1
35_S106_L002,35_S106_L002,35,FL1C4_R7_PRE_SOIL,FL,FL1C4,pre,soil,neither,9765,1
37_S108_L002,37_S108_L002,37,FL2C3_R5_PRE_SOIL,FL,FL2C3,pre,soil,original,1299,1
12_S12_L001,12_S12_L001_reseq,37,FL2C3_R5_PRE_SOIL,FL,FL2C3,pre,soil,reseq,281958,2
38_S109_L002,38_S109_L002,38,FL2C3_R6_PRE_SOIL,FL,FL2C3,pre,soil,neither,6248,1
39_S110_L002,39_S110_L002,39,FL2C3_R7_PRE_SOIL,FL,FL2C3,pre,soil,neither,12346,1
40_S111_L002,40_S111_L002,40,FL2C3_R8_PRE_SOIL,FL,FL2C3,pre,soil,original,3040,1
13_S13_L001,13_S13_L001_reseq,40,FL2C3_R8_PRE_SOIL,FL,FL2C3,pre,soil,reseq,272548,2
41_S112_L002,41_S112_L002,41,BEO1_R5_PRE_SOIL,Utqiagvik,BEO1,pre,soil,original,5937,1
14_S14_L001,14_S14_L001_reseq,41,BEO1_R5_PRE_SOIL,Utqiagvik,BEO1,pre,soil,reseq,201100,2
42_S113_L002,42_S113_L002,42,BEO1_R6_PRE_SOIL,Utqiagvik,BEO1,pre,soil,original,4546,1
15_S15_L001,15_S15_L001_reseq,42,BEO1_R6_PRE_SOIL,Utqiagvik,BEO1,pre,soil,reseq,195767,2
43_S114_L002,43_S114_L002,43,BEO1_R7_PRE_SOIL,Utqiagvik,BEO1,pre,soil,neither,11313,1
44_S115_L002,44_S115_L002,44,BEO1_R8_PRE_SOIL,Utqiagvik,BEO1,pre,soil,neither,11180,1
45_S116_L002,45_S116_L002,45,BEO2B_R5_PRE_SOIL,Utqiagvik,BEO2B,pre,soil,original,8242,1
46_S117_L002,46_S117_L002,46,BEO2B_R6_PRE_SOIL,Utqiagvik,BEO2B,pre,soil,neither,6666,1
47_S118_L002,47_S118_L002,47,BEO2B_R7_PRE_SOIL,Utqiagvik,BEO2B,pre,soil,neither,7204,1
48_S119_L002,48_S119_L002,48,BEO2B_R8_PRE_SOIL,Utqiagvik,BEO2B,pre,soil,original,1869,1
16_S16_L001,16_S16_L001_reseq,48,BEO2B_R8_PRE_SOIL,Utqiagvik,BEO2B,pre,soil,reseq,128682,2
49_S120_L002,49_S120_L002,49,DNA_BLANK_1_PRE_THAW_SOIL,NA,NA,pre,NA,neither,1335,1
50_S121_L002,50_S121_L002,50,DNA_BLANK_2_PRE_THAW_SOIL,NA,NA,pre,NA,neither,2308,1
51_S122_L002,51_S122_L002,51,DNA_BLANK_1_POST_THAW_SOIL,NA,NA,post,NA,neither,1393,1
52_S123_L002,52_S123_L002,52,DNA_BLANK_2_POST_THAW_SOIL,NA,NA,post,NA,neither,11685,1
53_S124_L002,53_S124_L002,53,PCR_BLANK,NA,NA,NA,NA,neither,1704,1
11_S11_L001,11_S11_L001_reseq,54,FL1C4_R8_POST_SOIL,FL,FL1C4,post,soil,reseq,266508,2